project	SRR_ID	method	rho_gene	jaccard_deg	rho_pathway	jaccard_pathway	dir_concordance
PRJNA1014965	SRR26033664	U	0.989272	0.441408	0.830987	0.804348	1.000000
PRJNA1014965	SRR26033664	A	0.989216	0.441532	0.774520	0.812500	1.000000
PRJNA1014965	SRR26033664	P5	0.989229	0.441656	0.848424	0.812500	1.000000
PRJNA1014965	SRR26033664	P10	0.989208	0.441566	0.845555	0.847826	1.000000
PRJNA1014965	SRR26033664	P20	0.989228	0.441532	0.875726	0.854167	1.000000
PRJNA1014965	SRR26033664	P35	0.988720	0.442353	0.879568	0.851064	1.000000
PRJNA1014965	SRR26033688	U	0.987081	0.464861	0.828659	0.860000	1.000000
PRJNA1014965	SRR26033688	A	0.987167	0.464376	0.842840	0.875000	1.000000
PRJNA1014965	SRR26033688	P5	0.987204	0.464541	0.876168	0.895833	1.000000
PRJNA1014965	SRR26033688	P10	0.987206	0.464571	0.860944	0.895833	1.000000
PRJNA1014965	SRR26033688	P20	0.987211	0.464571	0.863646	0.897959	1.000000
PRJNA1014965	SRR26033688	P35	0.986162	0.450189	0.851497	0.860000	1.000000
PRJNA1014965	SRR26033674	U	0.988454	0.463483	0.963048	0.854167	1.000000
PRJNA1014965	SRR26033674	A	0.988552	0.463548	0.881892	0.833333	1.000000
PRJNA1014965	SRR26033674	P5	0.988559	0.463418	0.892988	0.812500	1.000000
PRJNA1014965	SRR26033674	P10	0.988559	0.463353	0.804278	0.770833	1.000000
PRJNA1014965	SRR26033674	P20	0.988568	0.464304	0.915574	0.833333	1.000000
PRJNA1014965	SRR26033674	P35	0.987769	0.446124	0.873106	0.854167	1.000000
PRJNA1014965	SRR26033667	U	0.969319	0.478422	0.970228	0.937500	1.000000
PRJNA1014965	SRR26033667	A	0.969577	0.479425	0.891882	0.916667	1.000000
PRJNA1014965	SRR26033667	P5	0.969577	0.479077	0.884391	0.916667	1.000000
PRJNA1014965	SRR26033667	P10	0.969580	0.479077	0.840657	0.895833	1.000000
PRJNA1014965	SRR26033667	P20	0.969467	0.480734	0.844691	0.895833	1.000000
PRJNA1014965	SRR26033667	P35	0.864819	0.293188	0.667374	0.229167	1.000000
PRJNA1014965	SRR26033677	U	0.989394	0.438840	0.672418	0.787234	1.000000
PRJNA1014965	SRR26033677	A	0.989247	0.439700	0.870645	0.869565	1.000000
PRJNA1014965	SRR26033677	P5	0.989205	0.439727	0.850941	0.851064	1.000000
PRJNA1014965	SRR26033677	P10	0.989186	0.439700	0.776276	0.829787	1.000000
PRJNA1014965	SRR26033677	P20	0.989153	0.443707	0.894571	0.893617	1.000000
PRJNA1014965	SRR26033677	P35	0.852814	0.347368	0.508853	0.209302	1.000000
PRJNA1014965	SRR26033676	U	0.984706	0.428743	0.842027	0.836735	1.000000
PRJNA1014965	SRR26033676	A	0.984724	0.428804	0.866110	0.877551	1.000000
PRJNA1014965	SRR26033676	P5	0.984717	0.428743	0.878500	0.877551	1.000000
PRJNA1014965	SRR26033676	P10	0.984718	0.428743	0.935942	0.938776	1.000000
PRJNA1014965	SRR26033676	P20	0.984773	0.431521	0.772526	0.877551	1.000000
PRJNA1014965	SRR26033676	P35	0.863990	0.346497	0.589372	0.291667	1.000000
PRJNA1014965	SRR26033668	U	0.988666	0.432319	0.863848	0.787234	1.000000
PRJNA1014965	SRR26033668	A	0.988918	0.432622	0.840692	0.787234	1.000000
PRJNA1014965	SRR26033668	P5	0.988885	0.432527	0.968980	0.872340	1.000000
PRJNA1014965	SRR26033668	P10	0.988887	0.432527	0.849712	0.808511	1.000000
PRJNA1014965	SRR26033668	P20	0.988966	0.441442	0.886387	0.854167	1.000000
PRJNA1014965	SRR26033668	P35	0.854131	0.350878	0.557719	0.232558	0.950000
PRJNA1014965	SRR26033666	U	0.982006	0.453679	0.813596	0.836735	1.000000
PRJNA1014965	SRR26033666	A	0.981983	0.454069	0.829024	0.918367	1.000000
PRJNA1014965	SRR26033666	P5	0.981974	0.453941	0.907201	0.897959	1.000000
PRJNA1014965	SRR26033666	P10	0.981974	0.453941	0.907131	0.938776	1.000000
PRJNA1014965	SRR26033666	P20	0.981972	0.453877	0.930564	0.938776	1.000000
PRJNA1014965	SRR26033666	P35	0.857177	0.336134	0.558896	0.270833	1.000000
PRJNA1014965	SRR26033671	U	0.988703	0.438103	0.829247	0.826087	1.000000
PRJNA1014965	SRR26033671	A	0.988787	0.438786	0.780350	0.765957	1.000000
PRJNA1014965	SRR26033671	P5	0.988799	0.438752	0.820097	0.765957	1.000000
PRJNA1014965	SRR26033671	P10	0.988798	0.438752	0.947536	0.808511	1.000000
PRJNA1014965	SRR26033671	P20	0.988805	0.445209	0.786522	0.770833	1.000000
PRJNA1014965	SRR26033671	P35	0.854164	0.348531	0.614156	0.243902	1.000000
PRJNA1014965	SRR26033670	U	0.980799	0.476703	0.945834	0.959184	1.000000
PRJNA1014965	SRR26033670	A	0.980806	0.477042	0.939688	0.958333	1.000000
PRJNA1014965	SRR26033670	P5	0.980810	0.477110	0.948235	0.938776	1.000000
PRJNA1014965	SRR26033670	P10	0.980810	0.477110	0.930731	0.937500	1.000000
PRJNA1014965	SRR26033670	P20	0.980816	0.477110	0.785347	0.857143	1.000000
PRJNA1014965	SRR26033670	P35	0.839835	0.305119	0.708991	0.183673	1.000000
PRJNA1014965	SRR26033662	U	0.988773	0.453019	0.832573	0.822222	1.000000
PRJNA1014965	SRR26033662	A	0.988798	0.452666	0.938078	0.851064	1.000000
PRJNA1014965	SRR26033662	P5	0.988795	0.452793	0.930394	0.891304	1.000000
PRJNA1014965	SRR26033662	P10	0.988795	0.452793	0.968307	0.913043	1.000000
PRJNA1014965	SRR26033662	P20	0.988797	0.452955	0.953709	0.893617	1.000000
PRJNA1014965	SRR26033662	P35	0.846261	0.337307	0.526827	0.159091	1.000000
PRJNA1014965	SRR26033663	U	0.988470	0.452746	0.905402	0.895833	1.000000
PRJNA1014965	SRR26033663	A	0.988507	0.453030	0.873217	0.854167	1.000000
PRJNA1014965	SRR26033663	P5	0.988484	0.453036	0.842194	0.854167	1.000000
PRJNA1014965	SRR26033663	P10	0.988504	0.453128	0.883285	0.833333	1.000000
PRJNA1014965	SRR26033663	P20	0.988647	0.455095	0.804276	0.812500	1.000000
PRJNA1014965	SRR26033663	P35	0.846973	0.332749	0.504220	0.217391	0.950000
PRJNA1014965	SRR26033665	U	0.987220	0.449633	0.870862	0.833333	1.000000
PRJNA1014965	SRR26033665	A	0.987223	0.449795	0.859976	0.916667	1.000000
PRJNA1014965	SRR26033665	P5	0.987223	0.449766	0.893179	0.877551	1.000000
PRJNA1014965	SRR26033665	P10	0.987223	0.449766	0.933253	0.937500	1.000000
PRJNA1014965	SRR26033665	P20	0.987225	0.449703	0.866398	0.857143	1.000000
PRJNA1014965	SRR26033665	P35	0.849170	0.343784	0.534851	0.212766	1.000000
PRJNA1014965	SRR26033672	U	0.989129	0.443366	0.928522	0.913043	1.000000
PRJNA1014965	SRR26033672	A	0.989210	0.443394	0.756554	0.787234	1.000000
PRJNA1014965	SRR26033672	P5	0.989209	0.443269	0.925785	0.913043	1.000000
PRJNA1014965	SRR26033672	P10	0.989179	0.443304	0.906843	0.893617	1.000000
PRJNA1014965	SRR26033672	P20	0.989358	0.447319	0.934592	0.854167	1.000000
PRJNA1014965	SRR26033672	P35	0.849958	0.346761	0.515663	0.204545	1.000000
PRJNA1014965	SRR26033691	U	0.992381	0.479877	0.896557	0.914894	1.000000
PRJNA1014965	SRR26033691	A	0.992343	0.479813	0.967635	0.916667	1.000000
PRJNA1014965	SRR26033691	P5	0.992326	0.479914	0.983313	0.956522	1.000000
PRJNA1014965	SRR26033691	P10	0.992345	0.479946	0.851030	0.875000	1.000000
PRJNA1014965	SRR26033691	P20	0.992254	0.479909	0.958607	0.937500	1.000000
PRJNA1014965	SRR26033691	P35	0.664770	0.130969	0.710903	0.382979	1.000000
PRJNA1014965	SRR26033692	U	0.992938	0.476542	0.915582	0.895833	1.000000
PRJNA1014965	SRR26033692	A	0.992906	0.476409	0.937959	0.914894	1.000000
PRJNA1014965	SRR26033692	P5	0.992901	0.476608	0.942256	0.914894	1.000000
PRJNA1014965	SRR26033692	P10	0.992867	0.476510	0.956037	0.934783	1.000000
PRJNA1014965	SRR26033692	P20	0.992560	0.476175	0.823301	0.812500	1.000000
PRJNA1014965	SRR26033692	P35	0.663629	0.134192	0.649330	0.369565	1.000000
PRJNA1014965	SRR26033689	U	0.990825	0.462773	0.786116	0.808511	1.000000
PRJNA1014965	SRR26033689	A	0.990915	0.463289	0.897239	0.914894	1.000000
PRJNA1014965	SRR26033689	P5	0.990908	0.463482	0.877714	0.851064	1.000000
PRJNA1014965	SRR26033689	P10	0.990893	0.463710	0.907393	0.893617	1.000000
PRJNA1014965	SRR26033689	P20	0.990496	0.462416	0.907397	0.851064	1.000000
PRJNA1014965	SRR26033689	P35	0.670512	0.135195	0.713497	0.382979	1.000000
PRJNA1014965	SRR26033657	U	0.993115	0.479526	0.880663	0.913043	1.000000
PRJNA1014965	SRR26033657	A	0.993090	0.479195	0.874178	0.875000	1.000000
PRJNA1014965	SRR26033657	P5	0.993118	0.479326	0.910964	0.875000	1.000000
PRJNA1014965	SRR26033657	P10	0.993096	0.479125	0.941513	0.957447	1.000000
PRJNA1014965	SRR26033657	P20	0.992870	0.478450	0.904922	0.936170	1.000000
PRJNA1014965	SRR26033657	P35	0.663296	0.131699	0.714457	0.354167	1.000000
PRJNA1014965	SRR26033653	U	0.990036	0.470360	0.916447	0.914894	1.000000
PRJNA1014965	SRR26033653	A	0.990153	0.469870	0.863881	0.833333	1.000000
PRJNA1014965	SRR26033653	P5	0.990171	0.470264	0.937161	0.869565	1.000000
PRJNA1014965	SRR26033653	P10	0.990174	0.470330	0.877762	0.891304	1.000000
PRJNA1014965	SRR26033653	P20	0.989977	0.471083	0.875714	0.872340	1.000000
PRJNA1014965	SRR26033653	P35	0.672626	0.130552	0.707973	0.377778	1.000000
PRJNA1014965	SRR26033656	U	0.990207	0.457759	0.894732	0.851064	1.000000
PRJNA1014965	SRR26033656	A	0.990163	0.457759	0.750499	0.808511	1.000000
PRJNA1014965	SRR26033656	P5	0.990157	0.457823	0.864765	0.872340	1.000000
PRJNA1014965	SRR26033656	P10	0.990156	0.457538	0.830860	0.851064	1.000000
PRJNA1014965	SRR26033656	P20	0.989933	0.458014	0.944010	0.914894	1.000000
PRJNA1014965	SRR26033656	P35	0.675952	0.139489	0.718773	0.444444	1.000000
PRJNA1014965	SRR26033655	U	0.993088	0.476656	0.844380	0.895833	1.000000
PRJNA1014965	SRR26033655	A	0.993120	0.476789	0.929290	0.916667	1.000000
PRJNA1014965	SRR26033655	P5	0.993120	0.476723	0.777169	0.895833	1.000000
PRJNA1014965	SRR26033655	P10	0.993088	0.476425	0.850865	0.875000	1.000000
PRJNA1014965	SRR26033655	P20	0.992931	0.474892	0.822444	0.833333	1.000000
PRJNA1014965	SRR26033655	P35	0.666787	0.133568	0.693992	0.404255	1.000000
PRJNA1014965	SRR26033654	U	0.989832	0.449641	0.890944	0.836735	1.000000
PRJNA1014965	SRR26033654	A	0.989398	0.449403	0.951309	0.900000	1.000000
PRJNA1014965	SRR26033654	P5	0.989364	0.449188	0.952845	0.920000	1.000000
PRJNA1014965	SRR26033654	P10	0.989412	0.449466	0.946699	0.900000	1.000000
PRJNA1014965	SRR26033654	P20	0.989230	0.445813	0.963432	0.880000	1.000000
PRJNA1014965	SRR26033654	P35	0.685806	0.145471	0.742112	0.458333	1.000000
PRJNA1014965	SRR26033687	U	0.991250	0.481826	0.931499	0.877551	1.000000
PRJNA1014965	SRR26033687	A	0.991245	0.481826	0.972917	0.938776	1.000000
PRJNA1014965	SRR26033687	P5	0.991254	0.481994	0.954766	0.918367	1.000000
PRJNA1014965	SRR26033687	P10	0.991231	0.482231	0.950828	0.897959	1.000000
PRJNA1014965	SRR26033687	P20	0.991016	0.481551	0.856676	0.857143	1.000000
PRJNA1014965	SRR26033687	P35	0.660717	0.131250	0.711143	0.375000	1.000000
PRJNA1014965	SRR26033690	U	0.989928	0.475008	0.951208	0.934783	1.000000
PRJNA1014965	SRR26033690	A	0.989897	0.474774	0.937800	0.893617	1.000000
PRJNA1014965	SRR26033690	P5	0.989890	0.474774	0.809922	0.875000	1.000000
PRJNA1014965	SRR26033690	P10	0.989882	0.474673	0.898007	0.936170	1.000000
PRJNA1014965	SRR26033690	P20	0.989650	0.474904	0.903698	0.872340	1.000000
PRJNA1014965	SRR26033690	P35	0.666590	0.133050	0.694525	0.422222	1.000000
PRJNA1014965	SRR26033669	U	0.989460	0.465568	0.852209	0.854167	1.000000
PRJNA1014965	SRR26033669	A	0.989476	0.466052	0.918744	0.875000	1.000000
PRJNA1014965	SRR26033669	P5	0.989481	0.466018	0.918463	0.916667	1.000000
PRJNA1014965	SRR26033669	P10	0.989502	0.466277	0.955797	0.895833	1.000000
PRJNA1014965	SRR26033669	P20	0.989453	0.465753	0.924226	0.916667	1.000000
PRJNA1014965	SRR26033669	P35	0.677662	0.136321	0.688229	0.354167	1.000000
PRJNA1014965	SRR26033659	U	0.971595	0.458657	0.894595	0.875000	1.000000
PRJNA1014965	SRR26033659	A	0.971612	0.459513	0.858852	0.875000	1.000000
PRJNA1014965	SRR26033659	P5	0.971629	0.459614	0.964585	0.958333	1.000000
PRJNA1014965	SRR26033659	P10	0.971628	0.459614	0.871233	0.937500	1.000000
PRJNA1014965	SRR26033659	P20	0.971618	0.459609	0.884263	0.916667	1.000000
PRJNA1014965	SRR26033659	P35	0.849874	0.301461	0.541080	0.229167	0.950000
PRJNA1014965	SRR26033680	U	0.990394	0.460995	0.846073	0.833333	1.000000
PRJNA1014965	SRR26033680	A	0.990401	0.460832	0.826634	0.820000	1.000000
PRJNA1014965	SRR26033680	P5	0.990401	0.460995	0.852606	0.833333	1.000000
PRJNA1014965	SRR26033680	P10	0.990391	0.461380	0.943145	0.918367	1.000000
PRJNA1014965	SRR26033680	P20	0.990122	0.460465	0.880069	0.857143	1.000000
PRJNA1014965	SRR26033680	P35	0.673999	0.137610	0.737406	0.446809	1.000000
PRJNA1014965	SRR26033675	U	0.988450	0.435514	0.822286	0.808511	1.000000
PRJNA1014965	SRR26033675	A	0.988335	0.435888	0.812251	0.826087	1.000000
PRJNA1014965	SRR26033675	P5	0.988331	0.435861	0.937287	0.854167	1.000000
PRJNA1014965	SRR26033675	P10	0.988331	0.435861	0.836862	0.804348	1.000000
PRJNA1014965	SRR26033675	P20	0.988313	0.435801	0.868364	0.866667	1.000000
PRJNA1014965	SRR26033675	P35	0.855599	0.348678	0.561656	0.268293	1.000000
PRJNA1014965	SRR26033673	U	0.989174	0.452239	0.971381	0.958333	1.000000
PRJNA1014965	SRR26033673	A	0.989196	0.452268	0.969364	0.958333	1.000000
PRJNA1014965	SRR26033673	P5	0.989161	0.452331	0.827691	0.895833	1.000000
PRJNA1014965	SRR26033673	P10	0.989162	0.452331	0.938329	0.857143	1.000000
PRJNA1014965	SRR26033673	P20	0.989296	0.453196	0.864217	0.875000	1.000000
PRJNA1014965	SRR26033673	P35	0.843766	0.334546	0.637491	0.187500	1.000000
PRJNA1014965	SRR26033679	U	0.988471	0.438702	0.891466	0.854167	1.000000
PRJNA1014965	SRR26033679	A	0.988629	0.438798	0.832301	0.854167	1.000000
PRJNA1014965	SRR26033679	P5	0.988641	0.438894	0.813545	0.833333	1.000000
PRJNA1014965	SRR26033679	P10	0.988651	0.438648	0.885799	0.854167	1.000000
PRJNA1014965	SRR26033679	P20	0.988771	0.443386	0.864970	0.875000	1.000000
PRJNA1014965	SRR26033681	U	0.983655	0.454771	0.938151	0.877551	1.000000
PRJNA1014965	SRR26033681	A	0.983626	0.455055	0.943812	0.836735	1.000000
PRJNA1014965	SRR26033681	P5	0.983605	0.455090	0.852217	0.875000	1.000000
PRJNA1014965	SRR26033681	P10	0.983620	0.455183	0.875646	0.791667	1.000000
PRJNA1014965	SRR26033681	P20	0.983554	0.454760	0.873229	0.916667	1.000000
PRJNA1014965	SRR26033678	U	0.989271	0.439012	0.834414	0.847826	1.000000
PRJNA1014965	SRR26033678	A	0.989223	0.439688	0.756426	0.804348	1.000000
PRJNA1014965	SRR26033678	P5	0.989222	0.439688	0.852049	0.765957	1.000000
PRJNA1014965	SRR26033678	P10	0.989223	0.439688	0.947755	0.833333	1.000000
PRJNA1014965	SRR26033678	P20	0.989222	0.439688	0.872382	0.787234	1.000000
PRJNA1014965	SRR26033683	U	0.978747	0.415013	0.875075	0.833333	1.000000
PRJNA1014965	SRR26033683	A	0.978687	0.414724	0.956206	0.875000	1.000000
PRJNA1014965	SRR26033683	P5	0.978626	0.414931	0.845747	0.812500	1.000000
PRJNA1014965	SRR26033683	P10	0.978627	0.414931	0.938818	0.812500	1.000000
PRJNA1014965	SRR26033683	P20	0.978638	0.414897	0.796877	0.791667	1.000000
PRJNA1014965	SRR26033685	U	0.991927	0.474148	0.967443	0.937500	1.000000
PRJNA1014965	SRR26033685	A	0.991910	0.473949	0.827018	0.914894	1.000000
PRJNA1014965	SRR26033685	P5	0.991907	0.473750	0.858940	0.877551	1.000000
PRJNA1014965	SRR26033685	P10	0.991905	0.473750	0.953037	0.897959	1.000000
PRJNA1014965	SRR26033685	P20	0.991906	0.473750	0.895702	0.897959	1.000000
PRJNA1014965	SRR26033658	U	0.991860	0.448776	0.898557	0.857143	1.000000
PRJNA1014965	SRR26033658	A	0.991672	0.448713	0.874322	0.812500	1.000000
PRJNA1014965	SRR26033658	P5	0.991681	0.448776	0.826914	0.791667	1.000000
PRJNA1014965	SRR26033658	P10	0.991647	0.448901	0.930180	0.857143	1.000000
PRJNA1014965	SRR26033658	P20	0.991543	0.447013	0.904972	0.833333	1.000000
PRJNA1014965	SRR26033661	U	0.988690	0.440511	0.875054	0.812500	1.000000
PRJNA1014965	SRR26033661	A	0.988688	0.441313	0.869553	0.791667	1.000000
PRJNA1014965	SRR26033661	P5	0.988695	0.441127	0.757637	0.765957	1.000000
PRJNA1014965	SRR26033661	P10	0.988695	0.441127	0.934406	0.851064	1.000000
PRJNA1014965	SRR26033661	P20	0.988936	0.447021	0.887176	0.829787	1.000000
PRJNA1014965	SRR26033661	P35	0.852424	0.348879	0.575734	0.190476	0.950000
PRJNA1014965	SRR26033660	U	0.986152	0.464346	0.964249	0.934783	1.000000
PRJNA1014965	SRR26033660	A	0.986201	0.464708	0.788695	0.854167	1.000000
PRJNA1014965	SRR26033660	P5	0.986225	0.464803	0.882757	0.891304	1.000000
PRJNA1014965	SRR26033660	P10	0.986226	0.464803	0.818780	0.851064	1.000000
PRJNA1014965	SRR26033660	P20	0.986407	0.466693	0.897933	0.914894	1.000000
PRJNA1014965	SRR26033660	P35	0.844303	0.322137	0.655016	0.250000	1.000000
